Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Үнэ
Паркет,2тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,4,Бусад,"2,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,14,Лизинггүй,Хан-Уул,2,Хүннү,"2,8сая"
Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,4,Бусад,"2,8сая"
Паркет,2тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,9,Лизинггүй,Хан-Уул,4,Бусад,"2,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,4,Бусад,"2,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.73м²,10,Хувьлизингтэй,Хан-Уул,4,Бусад,"2,7сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,12,Бүргэд,53.57м²,4,Лизинггүй,Хан-Уул,3,Нисэх,"1,8сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.14м²,3,Лизинггүй,Хан-Уул,2,Зайсан,"1,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,7,Төмөрвакум,49.0м²,2,Лизинггүй,Хан-Уул,2,Яармаг,"1,7сая"
Паркет,2тагттай,2021,Байгаа,Вакум,16,Бүргэд,48.73м²,10,Лизинггүй,Хан-Уул,4,Бусад,"2,7сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,5,Бүргэд,40.76м²,2,Лизинггүй,Баянзүрх,2,Бусад,"1,54сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,13,Төмөр,69.82м²,5,Лизинггүй,Хан-Уул,3,Яармаг,140сая
Паркет,1тагттай,2011,Байхгүй,Вакум,15,Төмөр,59.23м²,4,Банкнылизингтэй,Сүхбаатар,2,5-рхороолол,160сая
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,54.0м²,6,Лизинггүй,Баянзүрх,3,16-рхороолол,"1,5сая"
Паркет,Тагтгүй,2021,Байхгүй,Вакум,7,Бүргэд,47.0м²,1,Лизинггүй,Хан-Уул,2,Бусад,"1,6сая"
Паркет,1тагттай,2019,Байхгүй,Вакум,12,Бүргэд,49.97м²,8,Лизинггүй,Хан-Уул,2,Нисэх,80сая
Паркет,1тагттай,2016,Байхгүй,Вакум,12,Бүргэд,52.0м²,3,Хувьлизингтэй,Хан-Уул,3,Бусад,88сая
Паркет,1тагттай,2012,Байхгүй,Вакум,12,Бүргэд,46.5м²,4,Лизинггүй,Баянзүрх,2,13-рхороолол,96сая
Ламинат,1тагттай,2021,Байгаа,Вакум,13,Бүргэд,50.5м²,2,Лизинггүй,Хан-Уул,3,Яармаг,"2,75сая"
Паркет,1тагттай,2020,Байгаа,Вакум,16,Бүргэд,58.54м²,6,Банкнылизингтэй,Хан-Уул,2,Бусад,"2,58сая"
Паркет,1тагттай,2020,Байгаа,Вакум,16,Бүргэд,79.37м²,8,Хувьлизингтэй,Хан-Уул,3,Бусад,"2,58сая"
Паркет,2тагттай,2019,Байхгүй,Вакум,15,Бүргэд,124.3м²,10,Лизинггүй,Баянзүрх,7,ИхМонголхороолол,"3,25сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,15,Бүргэд,78.0м²,15,Банкнылизингтэй,Хан-Уул,3,Алтайхотхон,150сая
Паркет,2тагттай,2021,Байхгүй,Вакум,13,Бүргэд,89.8м²,6,Лизинггүй,Хан-Уул,4,Яармаг,"2,9сая"
Паркет,1тагттай,1992,Байхгүй,Вакум,5,Бүргэд,32.0м²,4,Лизинггүй,Чингэлтэй,2,Багатойрог,71сая
Паркет,2тагттай,2020,Байгаа,Төмөрвакум,6,Төмөр,125.0м²,2,Лизинггүй,Хан-Уул,4,Зайсан,565сая
Паркет,1тагттай,2020,Байхгүй,Вакум,12,Бүргэд,118.0м²,5,Лизинггүй,Хан-Уул,6,RiverGarden,"4,6сая"
Паркет,2тагттай,2021,Байгаа,Вакум,16,Бүргэд,110.0м²,14,Лизинггүй,Хан-Уул,5,Хүннү,"3,85сая"
Паркет,Тагтгүй,2016,Байхгүй,Модонвакум,15,Бүргэд,51.0м²,9,Лизинггүй,Баянзүрх,2,15-рхороолол,117сая
Паркет,2тагттай,2021,Байгаа,Вакум,16,Бүргэд,75.0м²,7,Лизинггүй,Хан-Уул,3,Хүннү,"3,8сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,50.83м²,7,Банкнылизингтэй,Баянзүрх,2,16-рхороолол,"1,85сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,13,Бүргэд,68.0м²,5,Лизинггүй,Хан-Уул,4,Яармаг,"128,86сая"
Паркет,1тагттай,2019,Байхгүй,Төмөрвакум,15,Бүргэд,65.0м²,3,Банкнылизингтэй,Сүхбаатар,2,5-рхороолол,"319,78сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,83.2м²,7,Банкнылизингтэй,Хан-Уул,5,Нисэх,"2,2сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,12,Бүргэд,61.51м²,5,Лизинггүй,Хан-Уул,4,Бусад,"2,5сая"
Паркет,1тагттай,2021,Байгаа,Вакум,16,Төмөр,49.1м²,9,Лизинггүй,Сүхбаатар,2,Бусад,"1,85сая"
Паркет,Тагтгүй,2012,Байхгүй,Вакум,7,Бүргэд,30.0м²,6,Лизинггүй,Хан-Уул,2,Зайсан,51сая
Паркет,1тагттай,2018,Байгаа,Вакум,15,Төмөр,108.0м²,7,Хувьлизингтэй,Хан-Уул,4,220мянгат,"4,1сая"
Паркет,1тагттай,2018,Байхгүй,Вакум,10,Бүргэд,38.0м²,8,Банкнылизингтэй,СонгиноХайрхан,2,1-рхороолол,82сая
Паркет,2тагттай,2021,Байхгүй,Вакум,10,Бүргэд,46.02м²,6,Лизинггүй,Хан-Уул,2,Нисэх,"1,4сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,25,Төмөр,69.93м²,6,Лизинггүй,Хан-Уул,3,Хүннү,"3,1сая"
Паркет,1тагттай,2021,Байгаа,Вакум,10,Бүргэд,39.0м²,6,Хувьлизингтэй,Хан-Уул,2,Нисэх,"1,6сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,76.0м²,2,Лизинггүй,Хан-Уул,2,Бусад,"243,2сая"
Паркет,1тагттай,2019,Байхгүй,Вакум,10,Бүргэд,52.7м²,3,Лизинггүй,Чингэлтэй,2,Дэнжийн1000,"1,75сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,12,Бүргэд,49.0м²,7,Лизинггүй,Хан-Уул,2,Нисэх,"100,45сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,12,Төмөр,33.0м²,9,Лизинггүй,Хан-Уул,2,Нисэх,"67,65сая"
Паркет,2тагттай,2019,Байгаа,Вакум,5,Бүргэд,107.0м²,5,Лизинггүй,Хан-Уул,6,Яармаг,"3,2сая"
Паркет,1тагттай,2020,Байхгүй,Модонвакум,15,Төмөрвакум,114.0м²,11,Лизинггүй,Хан-Уул,5,KingTower,307сая
Паркет,1тагттай,2021,Байхгүй,Вакум,12,Бүргэд,28.54м²,7,Лизинггүй,Сүхбаатар,1,Баянбүрд,"1,6сая"
Паркет,1тагттай,2017,Байгаа,Вакум,9,Бүргэд,55.25м²,7,Банкнылизингтэй,Баянзүрх,4,Бусад,120сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,67.0м²,8,Лизинггүй,Хан-Уул,3,Яармаг,135сая
Паркет,1тагттай,2021,Байхгүй,Вакум,15,Бүргэд,46.0м²,8,Хувьлизингтэй,СонгиноХайрхан,2,21-рхороолол,"1,7сая"
Паркет,1тагттай,2015,Байхгүй,Вакум,16,Бүргэд,55.4м²,8,Лизинггүй,Хан-Уул,2,Бусад,119сая
Паркет,1тагттай,2015,Байхгүй,Вакум,12,Бүргэд,39.5м²,3,Лизинггүй,Баянзүрх,2,13-рхороолол,92сая
Паркет,1тагттай,2012,Байхгүй,Вакум,12,Бүргэд,49.7м²,4,Банкнылизингтэй,Баянзүрх,2,Olympicvillage,120сая
Паркет,1тагттай,2010,Байгаа,Вакум,6,Бүргэд,62.0м²,5,Лизинггүй,Баянгол,2,Алтайхотхон,"105,4сая"
Паркет,2тагттай,2021,Байхгүй,Вакум,13,Бүргэд,88.0м²,3,Лизинггүй,Хан-Уул,4,Яармаг,164сая
Паркет,2тагттай,2021,Байхгүй,Вакум,16,Төмөр,77.2м²,6,Лизинггүй,Хан-Уул,6,Яармаг,"223,88сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,13,Бүргэд,54.3м²,3,Лизинггүй,Хан-Уул,2,Яармаг,104сая
Паркет,1тагттай,2013,Байхгүй,Вакум,10,Бүргэд,88.0м²,1,Лизинггүй,Баянзүрх,4,Баянмонголхороолол,180сая
Паркет,1тагттай,2021,Байхгүй,Вакум,15,Бүргэд,56.14м²,5,Банкнылизингтэй,Хан-Уул,3,Яармаг,85сая
Паркет,1тагттай,2019,Байхгүй,Вакум,16,Бүргэд,69.0м²,2,Банкнылизингтэй,Баянзүрх,3,16-рхороолол,"1,6сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,29.28м²,13,Лизинггүй,Хан-Уул,2,Яармаг,"67,5сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,23,Төмөрвакум,70.0м²,22,Банкнылизингтэй,Хан-Уул,4,120мянгат,"3,8сая"
Паркет,1тагттай,2020,Байгаа,Вакум,13,Бүргэд,90.0м²,10,Лизинггүй,Хан-Уул,3,Яармаг,"1,85сая"
Паркет,2тагттай,2020,Байгаа,Вакум,13,Бүргэд,85.0м²,10,Лизинггүй,Хан-Уул,4,Яармаг,"1,9сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,13,Төмөр,106.0м²,10,Лизинггүй,Хан-Уул,4,Яармаг,"1,8сая"
Паркет,1тагттай,1988,Байхгүй,Вакум,5,Төмөр,18.0м²,2,Лизинггүй,Баянгол,3,10-рхороолол,69сая
Паркет,1тагттай,2021,Байхгүй,Вакум,23,Бүргэд,101.0м²,5,Лизинггүй,Хан-Уул,4,RiverGarden,575сая
Паркет,1тагттай,2020,Байхгүй,Вакум,10,Бүргэд,51.62м²,10,Лизинггүй,Хан-Уул,2,Нисэх,78сая
Паркет,1тагттай,2015,Байгаа,Вакум,10,Бүргэд,67.0м²,8,Лизинггүй,Хан-Уул,3,UBTown,"2,15сая"
Паркет,2тагттай,2009,Байгаа,Вакум,5,Бүргэд,117.0м²,1,Лизинггүй,Хан-Уул,4,UBTown,230сая
Паркет,2тагттай,2018,Байхгүй,Вакум,16,Төмөр,55.0м²,1,Лизинггүй,Хан-Уул,4,Бусад,184сая
Паркет,2тагттай,2021,Байхгүй,Вакум,17,Бүргэд,90.77м²,12,Лизинггүй,Хан-Уул,5,Хансвиллхотхон,"2,8сая"
Паркет,1тагттай,2020,Байхгүй,Вакум,17,Бүргэд,82.6м²,9,Лизинггүй,Хан-Уул,4,Яармаг,3сая
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,76.79м²,16,Лизинггүй,Баянгол,4,"3,4хороолол","2,05сая"
Паркет,2тагттай,2020,Байгаа,Вакум,2,Бүргэд,230.0м²,2,Лизинггүй,Хан-Уул,5,Зайсан,650сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,103.0м²,14,Лизинггүй,Хан-Уул,4,Хансвиллхотхон,280сая
Паркет,1тагттай,2020,Байхгүй,Вакум,15,Бүргэд,66.57м²,7,Лизинггүй,Баянзүрх,3,14-рхороолол,2сая
Ламинат,1тагттай,2021,Байхгүй,Вакум,13,Вакум,74.0м²,6,Хувьлизингтэй,Чингэлтэй,4,Баянбүрд,"132,46сая"
Паркет,1тагттай,1995,Байхгүй,Вакум,9,Бүргэд,60.0м²,5,Лизинггүй,Баянгол,3,"3,4хороолол",80сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,43.21м²,3,Лизинггүй,Баянзүрх,2,Бусад,76сая
Паркет,2тагттай,2020,Байгаа,Төмөрвакум,12,Төмөр,89.0м²,10,Лизинггүй,Хан-Уул,3,Яармаг,"1,9сая"
Паркет,1тагттай,1995,Байхгүй,Вакум,4,Бүргэд,28.0м²,3,Лизинггүй,Чингэлтэй,3,"40,50мянгат",112сая
Паркет,1тагттай,2021,Байгаа,Вакум,16,Бүргэд,43.0м²,13,Хувьлизингтэй,Хан-Уул,2,19-рхороолол,86сая
Паркет,1тагттай,2021,Байгаа,Вакум,13,Бүргэд,89.73м²,9,Лизинггүй,Хан-Уул,3,Яармаг,"1,9сая"
Мод,1тагттай,1990,Байхгүй,Вакум,5,Бүргэд,50.0м²,4,Лизинггүй,Сүхбаатар,3,220мянгат,120сая
Паркет,1тагттай,2018,Байхгүй,Вакум,5,Бүргэд,61.8м²,5,Лизинггүй,СонгиноХайрхан,3,Толгойт,79сая
Паркет,1тагттай,2011,Байхгүй,Вакум,5,Бүргэд,35.0м²,3,Лизинггүй,Баянзүрх,2,Бусад,45сая
Паркет,1тагттай,2013,Байхгүй,Вакум,5,Бүргэд,28.0м²,3,Лизинггүй,Баянзүрх,1,Бусад,48сая
Паркет,Тагтгүй,2012,Байхгүй,Вакум,3,Бүргэд,49.0м²,3,Лизинггүй,Баянзүрх,3,Амгалан,62сая
Паркет,1тагттай,2013,Байхгүй,Вакум,5,Бүргэд,37.85м²,5,Лизинггүй,СонгиноХайрхан,2,Ханынматериал,52сая
Паркет,1тагттай,2014,Байгаа,Вакум,12,Бүргэд,57.4м²,3,Лизинггүй,Сүхбаатар,3,100айл,86сая
Паркет,1тагттай,2014,Байгаа,Вакум,5,Бүргэд,25.0м²,2,Банкнылизингтэй,Баянгол,3,Москвахороолол,45сая
Паркет,2тагттай,2021,Байгаа,Вакум,5,Төмөр,160.0м²,2,Хувьлизингтэй,Хан-Уул,6,Зайсан,1020
Паркет,1тагттай,2014,Байхгүй,Вакум,12,Төмөр,59.0м²,7,Банкнылизингтэй,Чингэлтэй,3,"40,50мянгат","146,32сая"
Ламинат,1тагттай,2020,Байхгүй,Вакум,13,Бүргэд,92.2м²,7,Лизинггүй,Баянгол,5,Төмөрзам,"2,3сая"
Паркет,1тагттай,2004,Байхгүй,Вакум,9,Бүргэд,52.0м²,5,Лизинггүй,Баянзүрх,3,13-рхороолол,88сая
Паркет,1тагттай,2020,Байгаа,Вакум,16,Бүргэд,46.0м²,2,Лизинггүй,Хан-Уул,2,19-рхороолол,"126,8сая"
Паркет,1тагттай,2015,Байхгүй,Вакум,13,Бүргэд,68.8м²,2,Лизинггүй,Сүхбаатар,3,5-рхороолол,255сая
Паркет,Тагтгүй,1980,Байхгүй,Вакум,4,Бүргэд,30.0м²,2,Лизинггүй,Сүхбаатар,2,Багатойрог,75сая
Паркет,1тагттай,2013,Байхгүй,Вакум,9,Бүргэд,48.01м²,9,Лизинггүй,Баянгол,2,10-рхороолол,"1,8сая"
Паркет,1тагттай,2015,Байхгүй,Вакум,5,Бүргэд,30.0м²,5,Лизинггүй,Баянгол,2,"3,4хороолол",59сая
Паркет,1тагттай,2021,Байхгүй,Вакум,13,Бүргэд,55.13м²,4,Лизинггүй,Хан-Уул,2,Яармаг,"96,48сая"
Паркет,2тагттай,2020,Байхгүй,Вакум,16,Бүргэд,90.18м²,14,Лизинггүй,Хан-Уул,6,19-рхороолол,"252,5сая"
Паркет,Тагтгүй,2017,Байхгүй,Вакум,17,Бүргэд,61.4м²,17,Лизинггүй,Баянзүрх,5,ИхМонголхороолол,150сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,26.0м²,10,Хувьлизингтэй,Баянгол,2,"3,4хороолол",52сая
Паркет,1тагттай,2021,Байгаа,Вакум,15,Төмөр,106.0м²,7,Лизинггүй,Хан-Уул,4,Бусад,"2,5сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,12,Бүргэд,61.0м²,1,Хувьлизингтэй,Сүхбаатар,2,100айл,98сая
Паркет,1тагттай,2013,Байхгүй,Вакум,10,Бүргэд,55.0м²,5,Банкнылизингтэй,Баянзүрх,2,Алтайхотхон,80сая
Паркет,1тагттай,2021,Байгаа,Вакум,16,Бүргэд,48.86м²,4,Лизинггүй,Баянзүрх,3,14-рхороолол,"51,3сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,48.86м²,9,Лизинггүй,Баянзүрх,4,14-рхороолол,"74,14сая"
Паркет,1тагттай,2012,Байхгүй,Вакум,12,Бүргэд,62.12м²,1,Лизинггүй,Баянзүрх,2,Баянмонголхороолол,145сая
Паркет,1тагттай,2018,Байхгүй,Вакум,16,Бүргэд,118.84м²,13,Банкнылизингтэй,Сүхбаатар,5,220мянгат,"511,01сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,25,Бүргэд,50.0м²,23,Лизинггүй,Хан-Уул,2,Хүннү,"154,84сая"
Паркет,Тагтгүй,2012,Байгаа,Вакум,12,Бүргэд,63.0м²,1,Лизинггүй,Баянгол,4,"3,4хороолол",168сая
Паркет,2тагттай,2019,Байгаа,Вакум,19,Бүргэд,170.0м²,2,Лизинггүй,Хан-Уул,6,RiverGarden,4сая
Паркет,1тагттай,2014,Байхгүй,Вакум,10,Бүргэд,43.84м²,2,Лизинггүй,Баянзүрх,2,Olympicvillage,"2,35сая"
Паркет,2тагттай,2010,Байхгүй,Вакум,12,Төмөр,79.5м²,4,Лизинггүй,СонгиноХайрхан,5,Москвахороолол,115сая
Паркет,1тагттай,2017,Байхгүй,Вакум,13,Бүргэд,37.0м²,1,Банкнылизингтэй,Баянзүрх,2,14-рхороолол,74сая
Паркет,1тагттай,2013,Байхгүй,Вакум,16,Бүргэд,26.0м²,10,Лизинггүй,Баянгол,1,10-рхороолол,45сая
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,73.0м²,7,Лизинггүй,Хан-Уул,4,Яармаг,"2,3сая"
Паркет,1тагттай,2012,Байхгүй,Вакум,10,Бүргэд,30.6м²,2,Банкнылизингтэй,Баянзүрх,1,Офицер,50сая
Паркет,1тагттай,2020,Байхгүй,Вакум,12,Бүргэд,64.0м²,1,Лизинггүй,Баянзүрх,3,16-рхороолол,"1,7сая"
Паркет,1тагттай,2017,Байхгүй,Вакум,12,Бүргэд,61.0м²,9,Лизинггүй,Хан-Уул,3,Алтайхотхон,"2,1сая"
Паркет,1тагттай,2019,Байхгүй,Вакум,12,Бүргэд,56.0м²,1,Лизинггүй,Баянзүрх,2,Сансар,93сая
Паркет,1тагттай,1990,Байхгүй,Вакум,5,Бүргэд,30.0м²,2,Лизинггүй,Баянзүрх,3,Бусад,"58,2сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,14,Бүргэд,52.0м²,3,Лизинггүй,Хан-Уул,2,Бусад,"114,4сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,12,Бүргэд,43.7м²,12,Лизинггүй,Баянзүрх,2,Бусад,78сая
Паркет,1тагттай,2020,Байхгүй,Вакум,24,Бүргэд,74.8м²,16,Лизинггүй,Сүхбаатар,3,Бусад,380сая
Паркет,1тагттай,2018,Байхгүй,Вакум,15,Бүргэд,171.0м²,3,Лизинггүй,Хан-Уул,6,RomanaResidence,600сая
Паркет,1тагттай,2016,Байхгүй,Вакум,15,Бүргэд,130.8м²,4,Лизинггүй,Баянзүрх,8,Бусад,"320,46сая"
Паркет,1тагттай,2021,Байгаа,Вакум,9,Бүргэд,71.0м²,8,Хувьлизингтэй,Хан-Уул,4,Яармаг,"99,4сая"
Паркет,1тагттай,2021,Байгаа,Вакум,9,Бүргэд,45.25м²,8,Хувьлизингтэй,Хан-Уул,2,Яармаг,59сая
Паркет,1тагттай,2021,Байгаа,Вакум,9,Бүргэд,35.0м²,5,Хувьлизингтэй,Хан-Уул,2,Яармаг,"45,3сая"
Паркет,1тагттай,1994,Байхгүй,Вакум,9,Бүргэд,100.0м²,1,Лизинггүй,Баянзүрх,4,15-рхороолол,150сая
Паркет,1тагттай,2007,Байхгүй,Вакум,6,Бүргэд,35.0м²,2,Лизинггүй,Баянзүрх,2,15-рхороолол,50сая
Паркет,1тагттай,2020,Байхгүй,Вакум,23,Төмөр,55.04м²,20,Банкнылизингтэй,Хан-Уул,4,Бусад,220сая
Паркет,1тагттай,2017,Байхгүй,Вакум,12,Бүргэд,37.0м²,4,Лизинггүй,Баянзүрх,2,Өгөөмөрзахынзүүн,72сая
Паркет,1тагттай,2021,Байхгүй,Вакум,6,Төмөр,43.85м²,3,Лизинггүй,Баянзүрх,2,Бусад,"1,65сая"
Паркет,1тагттай,2016,Байхгүй,Вакум,9,Бүргэд,41.0м²,4,Лизинггүй,СонгиноХайрхан,2,Ханынматериал,59сая
Паркет,1тагттай,2011,Байхгүй,Вакум,6,Бүргэд,93.0м²,3,Лизинггүй,Баянзүрх,4,15-рхороолол,195сая
Мод,2тагттай,1990,Байхгүй,Мод,12,Бүргэд,40.0м²,11,Лизинггүй,Баянгол,4,"3,4хороолол",97сая
Паркет,Тагтгүй,2021,Байхгүй,Вакум,17,Бүргэд,72.0м²,10,Банкнылизингтэй,Баянзүрх,3,13-рхороолол,"222,65сая"
Паркет,2тагттай,2016,Байгаа,Вакум,12,Төмөр,54.5м²,10,Лизинггүй,Хан-Уул,2,19-рхороолол,120сая
Паркет,Тагтгүй,2019,Байхгүй,Вакум,3,Бүргэд,38.0м²,3,Лизинггүй,Баянзүрх,2,Сансар,"1,25сая"
Паркет,1тагттай,2021,Байхгүй,Вакум,16,Бүргэд,74.8м²,12,Лизинггүй,Хан-Уул,3,Бусад,"280,5сая"
Паркет,1тагттай,2006,Байхгүй,Вакум,7,Бүргэд,78.0м²,6,Лизинггүй,Баянгол,5,10-рхороолол,125сая
Паркет,1тагттай,2018,Байхгүй,Вакум,16,Бүргэд,57.47м²,14,Лизинггүй,Баянгол,2,1-рхороолол,115сая
Паркет,1тагттай,2014,Байгаа,Вакум,6,Төмөр,98.0м²,4,Лизинггүй,Хан-Уул,7,Бусад,"2,15сая"
Паркет,Тагтгүй,2020,Байгаа,Вакум,20,Бүргэд,104.0м²,13,Лизинггүй,Хан-Уул,8,19-рхороолол,"6,7сая"
Паркет,1тагттай,2020,Байгаа,Вакум,16,Төмөр,112.5м²,9,Лизинггүй,Баянзүрх,4,Бусад,"3,3сая"
Паркет,1тагттай,2006,Байхгүй,Вакум,5,Бүргэд,97.5м²,5,Банкнылизингтэй,Баянзүрх,5,Бусад,130сая
Паркет,1тагттай,2020,Байхгүй,Вакум,16,Бүргэд,74.8м²,13,Лизинггүй,Хан-Уул,3,Japantown,"3,8сая"
